episode_duration,success_rate,collision_rate,robot_radius,robot_max_speed,number_dynamic_obs,number_static_obs,robot_pos_x,robot_pos_y,burger,jackal,ridgeback,agvota,rto,rto_real,teb,dwa,mpc,rlca,arena,rosnav,num_vertices_static_obs_0,num_vertices_static_obs_1,num_vertices_static_obs_2,num_vertices_static_obs_3,num_vertices_static_obs_4,num_vertices_static_obs_5,num_vertices_static_obs_6,num_vertices_static_obs_7,num_vertices_static_obs_8,num_vertices_static_obs_9,num_vertices_static_obs_10,num_vertices_static_obs_11,num_vertices_static_obs_12,num_vertices_static_obs_13,num_vertices_static_obs_14,size_dynamic_obs_0,size_dynamic_obs_1,size_dynamic_obs_2,size_dynamic_obs_3,size_dynamic_obs_4,size_dynamic_obs_5,size_dynamic_obs_6,size_dynamic_obs_7,size_dynamic_obs_8,size_dynamic_obs_9,size_dynamic_obs_10,size_dynamic_obs_11,size_dynamic_obs_12,size_dynamic_obs_13,size_dynamic_obs_14,speed_dynamic_obs_0,speed_dynamic_obs_1,speed_dynamic_obs_2,speed_dynamic_obs_3,speed_dynamic_obs_4,speed_dynamic_obs_5,speed_dynamic_obs_6,speed_dynamic_obs_7,speed_dynamic_obs_8,speed_dynamic_obs_9,speed_dynamic_obs_10,speed_dynamic_obs_11,speed_dynamic_obs_12,speed_dynamic_obs_13,speed_dynamic_obs_14,timeout_rate,path_length,map,robot_model,AngleInfo,Entropy,MapSize,MaxEntropy,NumObs_Cv2,OccupancyRatio,distance(normalized),distance.avg,distance.variance,World
253.24,0.9,0,0.113,0.22,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.1,45.8471416126,00db3621-1b7b-4b5f-afd9-e1f636d199ba,burger,180,0.013562476,3200,2.3219280949,2,0.76953125,1,0.00012,0,00db3621-1b7b-4b5f-afd9-e1f636d199ba
159.52,1,0,0.113,0.22,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,35.1563346651,014580b7-bfa1-494a-8b1d-f12243fd7da2,burger,180,0.0192344125,1800,2.3219280949,2,0.3369444444,1,0.00026,0,014580b7-bfa1-494a-8b1d-f12243fd7da2
255.1,0.95,0,0.113,0.22,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,61.3263705749,01faa322-c039-477d-b5b0-b7962eb772d6,burger,360,0.032357854,5000,2.3219280949,2,0.5954,1,0.00841,0,01faa322-c039-477d-b5b0-b7962eb772d6
233.86,0.85,0.05,0.113,0.22,5,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.1,47.7000931547,02502257-33fb-4ad2-bf44-5bdbfdfcd37e,burger,205.7142857143,0.0311587951,3200,2.3219280949,16,0.3809375,0.7,0.01045,1E-05,02502257-33fb-4ad2-bf44-5bdbfdfcd37e
446.795,0.3,0.1,0.113,0.22,10,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.65,42.8871571664,031e6d73-6e40-40cd-ad9c-65c91104e83e,burger,308.5714285714,0.0154212885,5000,2.3219280949,3,0.8282,0.7,0.00904,0,031e6d73-6e40-40cd-ad9c-65c91104e83e
226.47,0.85,0,0.113,0.22,10,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.15,38.5384008567,039d8e5a-576e-47fc-8019-2cc875eb16d8,burger,154.2857142857,0.021295131,1800,2.3219280949,9,0.2566666667,0.8,0.05062,0.0002,039d8e5a-576e-47fc-8019-2cc875eb16d8
223.44,0.85,0.1,0.113,0.22,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,35.8801436503,04867384-1900-45f4-8d2f-ee4936533b6f,burger,72,0.0172191808,1800,2.3219280949,5,0.4441666667,0.6,0.00951,0,04867384-1900-45f4-8d2f-ee4936533b6f
158.24,1,0,0.113,0.22,5,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,35.2397028279,04905944-6c95-4e56-8bfa-22d275f52c00,burger,360,0.020921645,1800,2.3219280949,4,0.2958333333,0.5,0.00927,0,04905944-6c95-4e56-8bfa-22d275f52c00
333.585,0.5,0.15,0.113,0.22,10,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.4,31.0541487441,04e9b0da-0075-4d5d-babd-9267df244be4,burger,180,0.0117062999,3200,2.3219280949,2,0.80515625,1,0.00014,0,04e9b0da-0075-4d5d-babd-9267df244be4
273.39,0.75,0.2,0.113,0.22,10,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.1,55.2025457482,05d1ed72-58ed-44e5-a2a3-9b2ca4a48e6f,burger,360,0.0267022032,5000,2.3219280949,5,0.6758,0.6,0.02771,0,05d1ed72-58ed-44e5-a2a3-9b2ca4a48e6f
269.78,0.9,0,0.113,0.22,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,55.1612735569,066c4a71-e443-4013-813a-11c388d1618d,burger,154.2857142857,0.0304424928,5000,2.3219280949,7,0.6122,0.1,0.0085,0,066c4a71-e443-4013-813a-11c388d1618d
185.91,0.9,0.1,0.113,0.22,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,46.2202998554,06703dae-efeb-4690-a496-ce173790f875,burger,327.2727272727,0.0386734228,5000,2.3219280949,9,0.4941,0.7,0.01226,0,06703dae-efeb-4690-a496-ce173790f875
407.085,0.7,0.05,0.113,0.22,10,9.9982698962,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.25,72.4485194752,06bbf1a1-91aa-4cc7-9ed1-dd8162de5030,burger,332.3076923077,0.0397170092,5000,2.3219280949,8,0.4764,0.8,0.01027,1E-05,06bbf1a1-91aa-4cc7-9ed1-dd8162de5030
226.8,0.8,0,0.113,0.22,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,39.4212932952,06d02812-20ea-4426-bec4-a728493038d7,burger,180,0.0175071309,3200,2.3219280949,2,0.6853125,1,0.00017,0,06d02812-20ea-4426-bec4-a728493038d7
141.34,0.85,0.15,0.113,0.22,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.05,22.5850658623,073e1011-af7e-4b1e-b38d-7d840be60783,burger,180,0.0102832807,800,2.3219280949,3,0.270625,1,0.00367,0,073e1011-af7e-4b1e-b38d-7d840be60783
222.71,0.95,0,0.113,0.22,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,44.0562103087,07e755b5-1b2c-4530-9390-40de9228c48f,burger,332.3076923077,0.0234279141,3200,2.3219280949,4,0.56296875,0.8,0.00921,0,07e755b5-1b2c-4530-9390-40de9228c48f
318.99,0.65,0.1,0.113,0.22,10,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.25,55.2865203377,08aa294c-6224-4932-918d-c258e0b0b3cb,burger,154.2857142857,0.0199126679,3200,2.3219280949,7,0.64234375,0.4,0.01411,1E-05,08aa294c-6224-4932-918d-c258e0b0b3cb
196.035,0.9,0.1,0.113,0.22,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,45.9707137327,08dfed27-cb4e-4294-a1a2-d027981886b0,burger,90,0.0194931602,5000,2.3219280949,4,0.7603,1,0.00069,0,08dfed27-cb4e-4294-a1a2-d027981886b0
270.48,0.8,0.15,0.113,0.22,15,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,54.335414843,08f8a4c7-ea54-4c0a-bff2-c2ba04714654,burger,360,0.0318858432,5000,2.3219280949,2,0.6006,1,0.01089,0,08f8a4c7-ea54-4c0a-bff2-c2ba04714654
177.735,0.9,0.05,0.113,0.22,10,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.05,40.352444695,09c0f52c-3899-4bac-93d1-b4d6753a7e3c,burger,180,0.0206544607,1800,2.3219280949,7,0.3091666667,0.4,0.01269,1E-05,09c0f52c-3899-4bac-93d1-b4d6753a7e3c
