robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb,0
2,0.267,0.17,0.53,0.3,455.76,5070000000000,90,90,1,70,5,0,0,0,0,120,0.0386,4050,2.3219,6,0.3232,0.8,0.0077,0,0.55,0.38,4,0,0,1,0,0.874413875
0.22,0.113,0.28,0.72,0,172.12,1370000000000,70,70,1,15,4,0,0,0,0,180,0.0148,2450,2.3219,3,0.6543,0.7,0.0046,0,0.56,0.56,9,0,0,1,0,0.306446767
0.22,0.113,0.8,0.2,0,33.28,285533000000,50,50,1,30,3,0,0,0,0,180,0.0106,1250,2.3219,6,0.5244,0.5,0.0089,0,0,0,0,0,0,1,0,0.116784248
2,0.267,0.27,0.73,0,158.49,2301850000000,90,50,1,45,3,0,0,0,0,120,0.0202,2250,2.3219,5,0.456,0.2,0.005,0,0.48,0.54,9,0,0,1,0,0.025702979
0.22,0.113,0.6,0.4,0,74.12,721000000000,90,90,1,70,5,0,0,0,0,360,0.0406,4050,2.3219,3,0.2712,0.7,0.0083,0,0.55,0.71,8,0,0,1,0,0.289616889
0.22,0.113,0.73,0.27,0,94.88,1120000000000,90,90,1,70,5,0,0,0,0,200,0.0374,4050,2.3219,11,0.3175,0.5,0.0216,0,0,0,0,0,0,1,0,0.80021998
2,0.267,0.79,0.17,0.03,32.88,472000000000,50,50,1,15,3,0,0,0,0,180,0.0095,1250,2.3219,2,0.6168,0,0,1,0.35,0.44,2,0,0,1,0,0.948817494
0.22,0.113,0.34,0.66,0,197.96,1890000000000,70,70,1,70,3,0,0,0,0,60,0.0238,2450,2.3219,8,0.3867,0.8,0.0079,0,0.57,0.5,9,0,0,1,0,0.583793701
1.1,0.625,0.82,0.18,0,20.35,233000000000,50,50,1,15,5,0,0,0,0,180,0.012,1250,2.3219,2,0.4492,0,0,1,0.48,0.45,2,0,0,1,0,0.267715953
2,0.267,0.38,0.28,0.34,337.73,3260000000000,90,90,1,45,3,0,0,0,0,360,0.0284,4050,2.3219,3,0.5674,0.7,0.0101,0,0,0,0,0,0,1,0,0.286488784
1.1,0.625,0,0.7,0.3,10.7,5990000000000,50,50,1,30,5,0,0,0,0,180,0.0139,1250,2.3219,2,0.3144,0,0,1,0.36,0.47,4,0,0,1,0,0.262515892
0.22,0.113,0.69,0.31,0,97.47,961000000000,90,90,1,45,5,0,0,0,0,180,0.0322,4050,2.3219,3,0.4375,0.7,0.0045,0,0,0,0,0,0,1,0,0.645039085
2,0.267,0.34,0,0.66,441.76,4640000000000,70,70,1,70,5,0,0,0,0,360,0.0269,2450,2.3219,1,0.2408,0,0,1,0,0,0,0,0,1,0,0.655626672
2,0.267,0.2,0.63,0.17,294.57,4500000000000,90,90,1,30,5,0,0,0,0,225,0.0338,4050,2.3219,6,0.4257,0.5,0.0138,0,0.48,0.51,12,0,0,1,0,0.898556422
0.22,0.113,0.69,0.31,0,51.07,446000000000,50,50,1,15,5,0,0,0,0,90,0.0123,1250,2.3219,4,0.4296,0.5,0.0045,0,0.75,0.48,6,0,0,1,0,0.247610868
