robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb,0
0.22,0.113,0,0.47,0.53,14.03,5980000000000,70,70,1,70,4,0,0,0,0,108,0.0255,2450,2.3219,10,0.3173,0.8,0.0081,0,0.43,0.75,3,0,0,1,0,0.798372537
0.22,0.113,0.7,0.3,0,41.16,499000000000,70,70,0,0,0,1,10,2,0,137.1429,0.0295,2450,2.3219,16,0.1069,0.5,0.0126,0,0,0,0,0,0,1,0,0.309039712
0.22,0.113,0.25,0.75,0,412.76,2720000000000,90,90,1,30,4,0,0,0,0,180,0.0209,4050,2.3219,2,0.6828,0,0,1,0,0,0,0,0,1,0,0.220525681
2,0.267,0.23,0.73,0.03,222.77,4230000000000,70,70,1,30,5,0,0,0,0,205.7143,0.0218,2450,2.3219,4,0.4229,1,0.0091,0,0.52,0.57,9,0,0,1,0,0.529201081
0.22,0.113,0.57,0.43,0,274.16,1210000000000,90,90,0,0,0,1,30,2,0,200,0.0454,4050,2.3219,49,0.132,0.5,0.0152,0,0.57,0.57,8,0,0,1,0,0.647125936
0.22,0.113,0.23,0.77,0,190.52,1576950000000,70,70,1,15,5,0,0,0,0,180,0.0197,2450,2.3219,4,0.5037,1,0.0091,0,0.57,0.55,3,0,0,1,0,0.490617422
0.22,0.113,0.43,0.57,0,150.5,1200000000000,90,90,1,45,5,0,0,0,0,154.2857,0.0366,4050,2.3219,8,0.3602,0.5,0.0108,0,0.61,0.45,4,0,0,1,0,0.209527287
0.22,0.113,0.27,0.73,0,251.98,1770000000000,70,70,1,15,5,0,0,0,0,360,0.0166,2450,2.3219,1,0.5853,0,0,1,0.6,0.45,9,0,0,1,0,0.263107432
1.1,0.625,0.59,0.41,0,54.97,435000000000,70,70,1,15,4,0,0,0,0,180,0.0154,2450,2.3219,2,0.6241,0,0,1,0.59,0.53,3,0,0,1,0,0.110272487
2,0.267,0.77,0.1,0.13,92.8,1590000000000,50,50,1,45,3,0,0,0,0,90,0.013,1250,2.3219,5,0.4208,0.8,0.0067,0,0,0,0,0,0,1,0,0.906351548
