robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.77,0.23,0,49.28,1090000000000,50,50,1,70,5,0,0,0,0,180,0.0161,1250,2.3219,2,0.1888,0,0,1,0.76,0.61,4,1,0,0,0
0.22,0.113,0.27,0.67,0.07,122.13,4100000000000,90,90,1,45,3,0,0,0,0,120,0.0285,4050,2.3219,3,0.5589,1,0.011,0,0,0,0,1,0,0,0
0.22,0.113,0.47,0.53,0,66.91,1720000000000,70,70,1,30,5,0,0,0,0,180,0.0177,2450,2.3219,4,0.549,1,0.0091,0,0.39,0.42,9,1,0,0,0
0.22,0.113,0.1,0.9,0,117.48,3040000000000,90,90,1,30,3,0,0,0,0,360,0.0248,4050,2.3219,1,0.6272,0,0,1,0.61,0.53,12,1,0,0,0
0.22,0.113,0.77,0.23,0,46.53,657000000000,50,50,1,15,5,0,0,0,0,360,0.0105,1250,2.3219,2,0.512,1,0.0117,0,0.49,0.3,2,1,0,0,0
0.22,0.113,0.8,0.2,0,72.59,1530690000000,70,50,1,45,5,0,0,0,0,180,0.0191,1750,2.3219,2,0.2937,0,0,1,0.45,0.54,2,1,0,0,0
0.22,0.113,0.87,0.13,0,53.95,1080000000000,50,50,1,30,4,0,0,0,0,240,0.0128,1250,2.3219,3,0.3804,1,0.0075,0,0.43,0.19,4,1,0,0,0
0.22,0.113,0.73,0.27,0,62.9,1300000000000,50,50,1,15,5,0,0,0,0,360,0.0116,1250,2.3219,1,0.4408,0,0,1,0.65,0.75,2,1,0,0,0
0.22,0.113,0.45,0.55,0,65.36,2240000000000,50,50,1,30,3,0,0,0,0,180,0.013,1250,2.3219,3,0.4264,1,0.0045,0,0.62,0.62,2,1,0,0,0
0.22,0.113,0.63,0.37,0,63.16,1494390000000,50,90,1,45,3,0,0,0,0,180,0.0207,2250,2.3219,5,0.4487,0.6,0.0046,0,0.47,0.45,9,1,0,0,0
0.22,0.113,0.33,0.67,0,133.33,3500000000000,90,90,1,70,4,0,0,0,0,166.1538,0.037,4050,2.3219,12,0.3474,0.7,0.0099,0,0.57,0.68,8,1,0,0,0
