robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.27,0.73,0,120.62,3000000000000,90,90,1,70,4,0,0,0,0,180,0.0374,4050,2.3219,9,0.369,0.4,0.0065,0,0.66,0.69,12,1,0,0,0
0.22,0.113,0.63,0.37,0,86.82,2100000000000,70,70,1,30,4,0,0,0,0,120,0.0217,2450,2.3219,3,0.429,1,0.0066,0,0.7,0.78,3,1,0,0,0
0.22,0.113,0.6,0.4,0,107.92,2800000000000,90,90,1,70,4,0,0,0,0,308.5714,0.0372,4050,2.3219,6,0.3709,0.7,0.0074,0,0,0,0,1,0,0,0
0.22,0.113,0.47,0.53,0,70.74,3110000000000,90,90,1,15,3,0,0,0,0,360,0.0183,4050,2.3219,1,0.7446,0,0,1,0.47,0.6,4,1,0,0,0
0.22,0.113,0.63,0.37,0,54.9,1220000000000,50,50,1,30,5,0,0,0,0,180,0.0126,1250,2.3219,2,0.3936,0,0,1,0.72,0.6,6,1,0,0,0
0.22,0.113,0.79,0.21,0,41.64,738000000000,50,50,1,15,5,0,0,0,0,180,0.0103,1250,2.3219,2,0.546,1,0.0002,0,0.34,0.41,2,1,0,0,0
0.22,0.113,0.72,0.28,0,87.81,1740000000000,70,70,1,45,3,0,0,0,0,130.9091,0.0207,2450,2.3219,9,0.4808,0.6,0.0108,0,0,0,0,1,0,0,0
0.22,0.113,0.97,0.03,0,46.69,881000000000,50,50,1,70,5,0,0,0,0,180,0.0158,1250,2.3219,2,0.1856,0,0,1,0,0,0,1,0,0,0
2,0.267,0.52,0.48,0,51.8,2866380000000,70,50,0,0,0,1,20,2,0,163.6364,0.0213,1750,2.3219,16,0.1929,0.4,0.0111,0,0,0,0,1,0,0,0
0.22,0.113,0.27,0.73,0,116.3,2720000000000,90,90,1,70,3,0,0,0,0,196.3636,0.0335,4050,2.3219,11,0.4716,0.5,0.0111,0,0.59,0.54,12,1,0,0,0
0.22,0.113,0.07,0.9,0.03,66.32,5830000000000,90,90,1,30,5,0,0,0,0,360,0.0294,4050,2.3219,2,0.518,1,0.0168,0,0.39,0.5,8,1,0,0,0
0.22,0.113,0.67,0.33,0,78.03,1380000000000,50,50,1,70,4,0,0,0,0,360,0.016,1250,2.3219,1,0.1924,0,0,1,0.37,0.69,4,1,0,0,0
0.22,0.113,0.43,0.53,0.03,112.36,3370000000000,90,90,1,70,4,0,0,0,0,270,0.0382,4050,2.3219,17,0.3262,0.6,0.0098,0,0,0,0,1,0,0,0
1.1,0.625,0.3,0.7,0,67.12,2934480000000,70,70,1,30,5,0,0,0,0,120,0.0243,2450,2.3219,6,0.3594,0.7,0.0078,0,0.46,0.71,6,1,0,0,0
0.22,0.113,0.37,0.63,0,82.58,1930000000000,70,70,1,30,5,0,0,0,0,308.5714,0.0227,2450,2.3219,4,0.4218,0.8,0.0374,0.0001,0.76,0.77,6,1,0,0,0
0.22,0.113,0.53,0.43,0.03,72.19,1950000000000,50,50,1,30,3,0,0,0,0,120,0.014,1250,2.3219,8,0.3672,0.5,0.0083,0,0.32,0.6,4,1,0,0,0
0.22,0.113,0.63,0.37,0,97.75,1740000000000,70,70,1,15,5,0,0,0,0,90,0.0191,2450,2.3219,4,0.5373,1,0.0064,0,0.61,0.55,3,1,0,0,0
1.1,0.625,0.63,0.37,0,68.32,2353760000000,90,70,1,70,4,0,0,0,0,288,0.031,3150,2.3219,7,0.3308,0.6,0.0096,0,0,0,0,1,0,0,0
0.22,0.113,0.8,0.2,0,100.85,1920000000000,70,70,1,30,5,0,0,0,0,180,0.0227,2450,2.3219,5,0.3914,0.4,0.0071,0,0,0,0,1,0,0,0
0.22,0.113,0.2,0.77,0.03,64.12,4800000000000,50,50,1,45,3,0,0,0,0,180,0.0135,1250,2.3219,3,0.3688,1,0.0086,0,0.56,0.46,6,1,0,0,0
0.22,0.113,0,0.8,0.2,80.08,5980000000000,90,90,0,0,0,1,30,4,0,305.4545,0.0398,4050,2.3219,11,0.288,0.5,0.0129,0,0.48,0.61,4,1,0,0,0
0.22,0.113,0.37,0.63,0,137.29,2780000000000,90,90,1,45,4,0,0,0,0,321.7021,0.0361,4050,2.3219,11,0.3978,0.4,0.0128,0,0.55,0.6,8,1,0,0,0
0.22,0.113,0.07,0.7,0.23,33.83,5580000000000,90,90,1,30,3,0,0,0,0,180,0.0256,4050,2.3219,10,0.6102,0.4,0.0079,0,0,0,0,1,0,0,0
0.22,0.113,0.3,0.7,0,75.17,1650000000000,70,70,1,15,3,0,0,0,0,180,0.0109,2450,2.3219,2,0.7614,1,0.0035,0,0.62,0.63,9,1,0,0,0
0.22,0.113,0.07,0.93,0,86.84,5790000000000,90,90,1,30,5,0,0,0,0,360,0.0299,4050,2.3219,3,0.4938,0.3,0.0179,0,0.46,0.67,8,1,0,0,0
0.22,0.113,0.47,0.53,0,116.07,2670000000000,90,90,1,45,4,0,0,0,0,317.6471,0.032,4050,2.3219,4,0.4699,0.8,0.0097,0,0.59,0.59,4,1,0,0,0
0.22,0.113,0.77,0.2,0.03,38.19,962000000000,50,50,1,15,4,0,0,0,0,180,0.0094,1250,2.3219,2,0.576,0,0,1,0,0,0,1,0,0,0
0.22,0.113,0.53,0.43,0.03,69.68,1860000000000,70,70,1,15,5,0,0,0,0,120,0.019,2450,2.3219,4,0.5271,0.5,0.0058,0,0.76,0.48,6,1,0,0,0
0.22,0.113,0.5,0.5,0,31.55,1140000000000,50,50,1,15,3,0,0,0,0,180,0.0101,1250,2.3219,2,0.5764,0,0,1,0.18,0.69,2,1,0,0,0
0.22,0.113,0.33,0.67,0,111.86,2350000000000,90,90,1,15,4,0,0,0,0,360,0.0229,4050,2.3219,1,0.6507,0,0,1,0.56,0.53,8,1,0,0,0
