robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.76,0.24,0,96.61,1080000000000,70,70,1,70,5,0,0,0,0,240,0.0284,2450,2.3219,6,0.2088,0.5,0.0103,0,0.66,0.63,6,0,1,0,0
0.22,0.113,1,0,0,51.35,962000000000,70,70,1,45,5,0,0,0,0,180,0.0244,2450,2.3219,3,0.3382,1,0.0082,0,0,0,0,0,1,0,0
2,0.267,0.31,0.69,0,110.7,1130790000000,70,70,1,30,3,0,0,0,0,360,0.0197,2450,2.3219,2,0.52,1,0.0109,0,0.6,0.65,9,0,1,0,0
1.1,0.625,0.23,0.77,0,131.55,3228580000000,90,90,1,30,5,0,0,0,0,270,0.0321,4050,2.3219,3,0.4738,0.7,0.0072,0,0.56,0.63,8,0,1,0,0
0.22,0.113,1,0,0,42.26,810000000000,50,50,0,0,0,1,0,6,0,180,0.0163,1250,2.3219,2,0.0784,1,0.0004,0,0,0,0,0,1,0,0
2,0.267,0.92,0.08,0,33.88,300000000000,50,50,1,70,5,0,0,0,0,360,0.016,1250,2.3219,1,0.1968,0,0,1,0.22,0.83,2,0,1,0,0
0.22,0.113,1,0,0,42.26,810000000000,50,50,0,0,0,1,0,6,0,180,0.0163,1250,2.3219,2,0.0784,1,0.0004,0,0,0,0,0,1,0,0
1.1,0.625,0.41,0.59,0,49.51,824000000000,50,50,1,45,3,0,0,0,0,216,0.0138,1250,2.3219,6,0.3696,0.5,0.0657,0.0001,0.44,0.51,6,0,1,0,0
0.22,0.113,0.3,0.63,0.07,191.58,3290000000000,70,70,0,0,0,1,30,4,0,225,0.0227,2450,2.3219,10,0.4286,0.4,0.0116,0,0.51,0.58,9,0,1,0,0
0.22,0.113,0.67,0.33,0,178.22,1830000000000,90,90,1,70,4,0,0,0,0,259.2,0.0394,4050,2.3219,15,0.3251,0.4,0.0107,0,0.6,0.55,12,0,1,0,0
0.22,0.113,0.87,0.13,0,71.57,1370000000000,90,90,0,0,0,1,0,6,0,180,0.0454,4050,2.3219,2,0.044,0,0,1,0.64,0.57,4,0,1,0,0
0.22,0.113,0.53,0.33,0.13,86.22,1960000000000,90,90,0,0,0,1,40,6,0,321.7021,0.027,4050,2.3219,9,0.5916,0.6,0.0146,0,0.5,0.69,4,0,1,0,0
0.22,0.113,0.79,0.21,0,93.87,1090000000000,70,70,1,30,5,0,0,0,0,196.3636,0.0256,2450,2.3219,7,0.29,0.4,0.0075,0,0.5,0.62,6,0,1,0,0
0.22,0.113,0.73,0.13,0.13,248.14,2760000000000,90,90,0,0,0,1,30,4,0,126,0.0393,4050,2.3219,17,0.3053,0.8,0.0138,0,0.56,0.53,4,0,1,0,0
0.22,0.113,0.64,0.29,0.07,215.5,1870000000000,90,90,1,70,4,0,0,0,0,294.5455,0.0379,4050,2.3219,14,0.3551,0.5,0.0124,0,0.56,0.58,12,0,1,0,0
1.1,0.625,0.5,0.5,0,48.57,1600000000000,90,90,1,45,3,0,0,0,0,144,0.0297,4050,2.3219,8,0.5442,0.6,0.0082,0,0.39,0.48,4,0,1,0,0
2,0.267,0.62,0.38,0,141.66,1370000000000,70,70,1,70,3,0,0,0,0,216,0.0251,2450,2.3219,5,0.3676,0.6,0.0102,0,0.93,0.6,3,0,1,0,0
2,0.267,0.47,0.53,0,188.21,1630000000000,90,90,1,15,3,0,0,0,0,216,0.0186,4050,2.3219,4,0.7364,0.2,0.0227,0,0.47,0.65,8,0,1,0,0
1.1,0.625,0.28,0.72,0,132.75,2830000000000,90,90,1,30,4,0,0,0,0,270,0.0284,4050,2.3219,6,0.5468,0.5,0.0082,0,0.49,0.69,12,0,1,0,0
2,0.267,0.73,0.27,0,107.8,723000000000,70,70,1,15,5,0,0,0,0,360,0.0158,2450,2.3219,1,0.6071,0,0,1,0.68,0.59,6,0,1,0,0
0.22,0.113,0.57,0.43,0,92.16,1140000000000,70,70,1,45,5,0,0,0,0,360,0.0251,2450,2.3219,2,0.3022,1,0.0086,0,0.35,0.64,9,0,1,0,0
0.22,0.113,0.92,0.08,0,38.48,570000000000,50,50,1,45,4,0,0,0,0,180,0.0141,1250,2.3219,2,0.2884,0,0,1,0.62,0.41,2,0,1,0,0
1.1,0.625,0.27,0.73,0,138.34,2710000000000,90,90,1,45,5,0,0,0,0,308.5714,0.0369,4050,2.3219,5,0.3596,0.6,0.0127,0,0.41,0.6,8,0,1,0,0
0.22,0.113,0.07,0.33,0.6,8.59,5810000000000,50,50,1,70,3,0,0,0,0,180,0.0143,1250,2.3219,2,0.308,1,0.0002,0,0.36,0.61,2,0,1,0,0
2,0.267,0.5,0.5,0,223.42,1593910000000,90,90,1,70,5,0,0,0,0,216,0.0378,4050,2.3219,6,0.3457,0.3,0.0064,0,0.52,0.54,12,0,1,0,0
0.22,0.113,1,0,0,53.7,527000000000,50,50,1,70,5,0,0,0,0,180,0.0161,1250,2.3219,2,0.182,0,0,1,0,0,0,0,1,0,0
2,0.267,0.47,0.53,0,317.8,2680000000000,50,50,1,15,5,0,0,0,0,120,0.0128,1250,2.3219,5,0.3856,0.4,0.0078,0,0.41,0.6,2,0,1,0,0
0.22,0.113,0.6,0.37,0.03,198.06,1550000000000,70,70,0,0,0,1,30,4,0,200,0.0232,2450,2.3219,8,0.4047,0.6,0.0169,0,0.73,0.53,6,0,1,0,0
0.22,0.113,1,0,0,110.66,1470000000000,90,90,1,70,3,0,0,0,0,205.7143,0.0325,4050,2.3219,8,0.4899,0.5,0.008,0,0,0,0,0,1,0,0
0.22,0.113,0.77,0.23,0,99.88,805000000000,50,50,1,15,4,0,0,0,0,180,0.0108,1250,2.3219,2,0.5124,0,0,1,0.47,0.55,6,0,1,0,0
1.1,0.625,0.43,0.5,0.07,70.05,2900000000000,70,70,1,30,4,0,0,0,0,216,0.0215,2450,2.3219,5,0.4559,0.4,0.0082,0,0.54,0.38,3,0,1,0,0
0.22,0.113,1,0,0,95.87,1290000000000,70,70,1,70,4,0,0,0,0,240,0.0259,2450,2.3219,7,0.2959,0.6,0.0086,0,0,0,0,0,1,0,0
2,0.267,0.17,0.83,0,393.22,3230000000000,90,90,1,45,4,0,0,0,0,360,0.0325,4050,2.3219,1,0.4635,0,0,1,0.7,0.5,12,0,1,0,0
0.22,0.113,1,0,0,24.94,518000000000,50,50,1,30,4,0,0,0,0,360,0.0138,1250,2.3219,1,0.3684,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.5,0.5,0,81.38,839000000000,50,50,1,70,3,0,0,0,0,120,0.0142,1250,2.3219,3,0.3204,0.7,0.0039,0,0.68,0.68,6,0,1,0,0
1.1,0.625,0.52,0.48,0,33.66,1430000000000,70,70,1,30,3,0,0,0,0,240,0.0181,2450,2.3219,2,0.578,1,0.0084,0,0.69,0.59,6,0,1,0,0
0.22,0.113,0.57,0.43,0,146.85,1807130000000,90,90,1,15,4,0,0,0,0,180,0.021,4050,2.3219,2,0.6831,0,0,1,0.67,0.49,8,0,1,0,0
0.22,0.113,1,0,0,2.41,120000000000,70,70,1,45,3,0,0,0,0,180,0.0208,2450,2.3219,2,0.4935,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.69,0.31,0,55.12,687000000000,50,50,1,30,3,0,0,0,0,120,0.0129,1250,2.3219,7,0.4192,0.6,0.0113,0,0.57,0.47,6,0,1,0,0
2,0.267,0.4,0.57,0.03,418.94,3740000000000,70,70,1,45,4,0,0,0,0,270,0.0246,2450,2.3219,5,0.348,0.6,0.0095,0,0,0,0,0,1,0,0
2,0.267,0.77,0.23,0,188.22,1370000000000,90,90,1,45,5,0,0,0,0,144,0.0323,4050,2.3219,6,0.437,0.3,0.0093,0,0.73,0.49,4,0,1,0,0
2,0.267,0.5,0.5,0,174.56,1920000000000,90,90,1,15,4,0,0,0,0,180,0.0185,4050,2.3219,2,0.7291,1,0.0002,0,0.44,0.54,8,0,1,0,0
0.22,0.113,0.53,0.43,0.03,126.14,1950000000000,90,90,1,15,5,0,0,0,0,308.5714,0.0256,4050,2.3219,5,0.5848,0.6,0.0118,0,0.55,0.58,12,0,1,0,0
0.22,0.113,0.77,0.23,0,77.36,1270000000000,70,70,0,0,0,1,10,4,0,113.6842,0.0273,2450,2.3219,16,0.2196,0.4,0.0146,0,0.58,0.41,9,0,1,0,0
0.22,0.113,0.77,0.23,0,45.96,479343000000,50,50,1,45,3,0,0,0,0,360,0.0135,1250,2.3219,3,0.3948,0.3,0.0258,0,0.45,0.48,6,0,1,0,0
0.22,0.113,0.8,0.13,0.07,232.49,2690000000000,90,90,1,30,4,0,0,0,0,288,0.031,4050,2.3219,4,0.5053,0.5,0.0062,0,0.38,0.77,4,0,1,0,0
0.22,0.113,1,0,0,110.77,1520000000000,90,90,1,15,3,0,0,0,0,180,0.0181,4050,2.3219,2,0.7435,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.8,0.2,0,61.95,1250000000000,70,70,0,0,0,1,20,2,0,135,0.0293,2450,2.3219,26,0.1516,0.5,0.0127,0,0.46,0.48,6,0,1,0,0
0.22,0.113,0.77,0.23,0,85.55,881000000000,70,70,0,0,0,1,20,6,0,320,0.0199,2450,2.3219,6,0.4969,0.5,0.0121,0,0.48,0.44,9,0,1,0,0
0.22,0.113,1,0,0,64.98,1080000000000,90,90,0,0,0,1,0,6,0,180,0.0454,4050,2.3219,2,0.044,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.57,0.43,0,48.29,738000000000,50,50,0,0,0,1,10,2,0,160,0.0161,1250,2.3219,21,0.1784,0.4,0.0121,0,0.52,0.87,6,0,1,0,0
0.22,0.113,0.7,0.3,0,99.53,1490000000000,90,90,0,0,0,1,30,2,0,77.8378,0.0453,4050,2.3219,36,0.1296,0.5,0.0143,0,0.46,0.64,12,0,1,0,0
0.22,0.113,0.62,0.38,0,109.57,1020000000000,50,50,1,30,3,0,0,0,0,180,0.0131,1250,2.3219,4,0.4344,0.5,0.0097,0,0.6,0.65,4,0,1,0,0
0.22,0.113,0.7,0.3,0,123.73,1780000000000,90,90,0,0,0,1,20,2,0,255.1899,0.0455,4050,2.3219,38,0.1053,0.6,0.0143,0,0.6,0.48,12,0,1,0,0
0.22,0.113,1,0,0,38.88,648000000000,70,70,1,15,3,0,0,0,0,180,0.0121,2450,2.3219,2,0.7371,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.07,0,0.93,20.91,5990000000000,90,90,0,0,0,1,0,4,0,180,0.0454,4050,2.3219,2,0.044,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.13,0.47,0.4,8.56,5960000000000,50,50,1,70,3,0,0,0,0,205.7143,0.0147,1250,2.3219,5,0.2876,0.4,0.0098,0,0.76,0.44,2,0,1,0,0
2,0.267,0.72,0.28,0,215,1650000000000,70,70,1,45,5,0,0,0,0,327.2727,0.0252,2450,2.3219,6,0.3222,0.7,0.0123,0,0,0,0,0,1,0,0
0.22,0.113,0.93,0.07,0,98.08,1490000000000,90,90,0,0,0,1,20,4,0,223.4483,0.0417,4050,2.3219,17,0.2126,0.5,0.0132,0,0.46,0.44,8,0,1,0,0
0.22,0.113,0.13,0,0.87,5.41,5950000000000,50,50,1,30,3,0,0,0,0,240,0.0134,1250,2.3219,3,0.4064,1,0.0066,0,0,0,0,0,1,0,0
