robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.89,0.11,0,39.07,527000000000,50,50,1,45,4,0,0,0,0,180,0.0143,1250,2.3219,4,0.3164,0.8,0.0055,0,0.63,0.32,2,0,1,0,0
1.1,0.625,0.53,0.4,0.07,230.39,2650000000000,90,90,1,70,4,0,0,0,0,303.1579,0.0357,4050,2.3219,11,0.3923,0.6,0.0101,0,0,0,0,0,1,0,0
0.22,0.113,0.07,0.77,0.17,18.03,5990000000000,70,70,0,0,0,1,0,6,0,180,0.0295,2450,2.3219,2,0.0563,0,0,1,0.64,0.52,9,0,1,0,0
0.22,0.113,0.79,0.21,0,125.39,1220000000000,90,90,1,15,4,0,0,0,0,180,0.0196,4050,2.3219,2,0.7073,1,0.0001,0,0.39,0.36,4,0,1,0,0
0.22,0.113,1,0,0,29.78,594000000000,50,50,1,45,4,0,0,0,0,180,0.0146,1250,2.3219,2,0.3072,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.85,0.15,0,38.03,760000000000,50,50,1,15,4,0,0,0,0,360,0.0104,1250,2.3219,1,0.5088,0,0,1,0.56,0.75,2,0,1,0,0
0.22,0.113,0.8,0.2,0,92.35,1460000000000,90,90,0,0,0,1,10,2,0,211.7647,0.0456,4050,2.3219,20,0.0748,0.6,0.0104,0,0.42,0.56,8,0,1,0,0
0.22,0.113,1,0,0,27.88,578755000000,50,50,1,30,4,0,0,0,0,120,0.0129,1250,2.3219,5,0.3924,0.6,0.0061,0,0,0,0,0,1,0,0
0.22,0.113,0.53,0.47,0,93.83,1110000000000,50,50,1,45,3,0,0,0,0,144,0.014,1250,2.3219,5,0.3516,0.6,0.007,0,0.63,0.71,6,0,1,0,0
2,0.267,0.47,0.53,0,142.33,1291800000000,90,90,1,15,3,0,0,0,0,180,0.0179,4050,2.3219,2,0.7378,0,0,1,0.64,0.41,8,0,1,0,0
2,0.267,0.31,0.66,0.03,77.49,1090000000000,70,70,1,30,3,0,0,0,0,294.5455,0.022,2450,2.3219,5,0.4682,0.6,0.0105,0,0.58,0.68,6,0,1,0,0
2,0.267,0.48,0.52,0,144.59,1280480000000,70,70,1,15,3,0,0,0,0,360,0.0143,2450,2.3219,1,0.6835,0,0,1,0.57,0.49,3,0,1,0,0
0.22,0.113,0.93,0.07,0,51.53,864000000000,90,90,1,45,5,0,0,0,0,180,0.0369,4050,2.3219,6,0.3628,0.5,0.0108,0,0.48,0.44,4,0,1,0,0
0.22,0.113,0.07,0.8,0.13,11.32,5790000000000,50,50,1,70,4,0,0,0,0,180,0.0156,1250,2.3219,2,0.2432,0,0,1,0.76,0.6,6,0,1,0,0
0.22,0.113,0.67,0.33,0,210.26,1440000000000,50,50,1,30,4,0,0,0,0,90,0.0132,1250,2.3219,4,0.3804,0.5,0.0077,0,0.46,0.46,6,0,1,0,0
0.22,0.113,0.97,0,0.03,28.33,619000000000,50,50,0,0,0,1,20,2,0,144,0.0155,1250,2.3219,11,0.2584,0.5,0.0138,0,0,0,0,0,1,0,0
0.22,0.113,0.87,0.13,0,54.76,792000000000,70,70,1,15,5,0,0,0,0,180,0.0144,2450,2.3219,2,0.6598,1,0.0046,0,0.54,0.43,6,0,1,0,0
0.22,0.113,0.7,0.3,0,207.88,1930000000000,70,70,0,0,0,1,20,6,0,180,0.0188,2450,2.3219,3,0.5355,0.7,0.008,0,0.58,0.31,9,0,1,0,0
0.22,0.113,0.7,0.3,0,84.52,1180000000000,70,70,1,70,5,0,0,0,0,72,0.0271,2450,2.3219,5,0.222,0.4,0.0057,0,0.57,0.46,6,0,1,0,0
0.22,0.113,1,0,0,58.12,836000000000,90,90,1,15,3,0,0,0,0,90,0.0179,4050,2.3219,5,0.7411,0.4,0.0051,0,0,0,0,0,1,0,0
1.1,0.625,0.21,0.79,0,95.4,2280110000000,70,70,1,15,3,0,0,0,0,180,0.0137,2450,2.3219,3,0.6818,0.7,0.0054,0,0.46,0.51,9,0,1,0,0
0.22,0.113,0.79,0.21,0,43.74,968000000000,50,50,0,0,0,1,10,4,0,144,0.0142,1250,2.3219,10,0.3296,0.4,0.0165,0,0.7,0.62,4,0,1,0,0
0.22,0.113,0.07,0.8,0.13,7.63,5960000000000,50,50,1,30,5,0,0,0,0,180,0.0132,1250,2.3219,2,0.3688,0,0,1,0.68,0.58,6,0,1,0,0
0.22,0.113,1,0,0,15.93,229000000000,50,50,1,15,5,0,0,0,0,180,0.0118,1250,2.3219,2,0.4392,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.1,0.67,0.23,21.08,5980000000000,90,90,0,0,0,1,40,2,0,253.1868,0.045,4050,2.3219,51,0.162,0.5,0.0136,0,0.53,0.64,12,0,1,0,0
0.22,0.113,1,0,0,133.56,1760000000000,90,90,1,70,3,0,0,0,0,192,0.0313,4050,2.3219,12,0.506,0.6,0.0109,0,0,0,0,0,1,0,0
0.22,0.113,0.97,0,0.03,140.68,996000000000,50,50,1,45,5,0,0,0,0,120,0.0151,1250,2.3219,3,0.2384,0.7,0.0039,0,0,0,0,0,1,0,0
1.1,0.625,0.47,0.5,0.03,105.13,2090000000000,90,90,1,45,5,0,0,0,0,240,0.0378,4050,2.3219,6,0.3193,0.5,0.0072,0,0.48,0.49,8,0,1,0,0
0.22,0.113,0.97,0.03,0,71.2,1400000000000,90,90,0,0,0,1,0,2,0,180,0.0454,4050,2.3219,2,0.044,0,0,1,0.43,0.8,4,0,1,0,0
0.22,0.113,0.62,0.38,0,53.91,988000000000,70,70,1,70,5,0,0,0,0,90,0.0263,2450,2.3219,4,0.2492,0.5,0.0056,0,0.54,0.55,9,0,1,0,0
1.1,0.625,0.21,0.79,0,12.12,4360000000000,50,50,1,15,3,0,0,0,0,180,0.0093,1250,2.3219,2,0.6172,1,0.0002,0,0.5,0.59,6,0,1,0,0
0.22,0.113,1,0,0,33.05,541000000000,50,50,0,0,0,1,10,2,0,231.4286,0.016,1250,2.3219,10,0.1672,0.4,0.0114,0,0,0,0,0,1,0,0
